//id,name,info,hint,forced
1,Transfer Student,転校した生徒の称号。装着すると、ロビーで優先的に招待を受けられる,他の学校で転校を行う,0
2,新入生,入学したばかりの生徒の称号。気絶時のペナルティが免除される,新規キャラクターを生成する,1
3,留年生,努力不足で、学業が遅れがちな生徒の称号,？？？？,1
4,落第王,何度も落第を繰り返す生徒に与えられる称号,？？？？,1
5,逃亡者,自分が不利になるとすぐ逃げてしまう生徒に与えられる称号,？？？？,1
6,まったり,熱心に勉強せず、のんびり過ごす生徒に与えられる称号,Episodeをプレイせずに長時間過ごす,0
7,Milkマニア,Milkを使った時のRecovery速度が少し増加する,Milkをたくさん飲む,0
8,Milkジャンキー,Milkを使った時のRecovery速度が増加する,Milkをもっとたくさん飲む,0
9,Milk魔人,Milkを使った時のRecovery速度が非常に増加する,Milkを激しくたくさん飲む,0
10,皆勤賞,EpisodeClear時、得点にボーナス加算,学校に欠かさず登校する,0
11,ワルグマーハンター,ワルグマー達に恐れられる,ワルグマー達をひたすらこらしめる,0
12,Ghostバスター,幽霊退治専門家,？？？？,0
13,ミリオネア,お金持ちに見える効果がある,お金をたくさん集める,0
14,購買ゴールド会員,購買での売買で、ゴールド会員サービスを受けられる,購買でたくさん買い物をする,0
15,狐道士,狐の洞窟に関する事件について、最も精通した者,？？？？,0
16,スピードKing,EpisodeClear時、経験値にボーナスが付く,Episodeを非常に早くClearする,0
17,Zombie,119を安く利用出来る,何回も、気絶状態でEpisodeをClearする,0
18,"SD Annaファン",SDAnnaのファン(奴隷？)と認定される,"全ての HELP メッセージを見る",0
19,卑怯者,競争Episodeの途中で逃げ出した生徒に与えられる称号,競争Episodeを途中で放棄する,1
20,最強,1st Grade最強,グループポイントを集める,0
21,四天王,1st Grade四天王,グループポイントを集める,0
22,ファイトクラブ幹部,1st Gradeファイトクラブ幹部,グループポイントを集める,0
23,ファイトクラブメンバ,1st Gradeファイトクラブメンバー,グループポイントを集める,0
24,ファイトクラブ新入,1st Gradeファイトクラブ新入,グループポイントを集める,0
25,クラス首位,1st Gradeクラス首位,グループポイントを集める,0
26,最強,2nd Grade最強,グループポイントを集める,0
27,四天王,2nd Grade四天王,グループポイントを集める,0
28,ファイトクラブ幹部,2nd Gradeファイトクラブ幹部,グループポイントを集める,0
29,ファイトクラブメンバ,2nd Gradeファイトクラブメンバー,グループポイントを集める,0
30,ファイトクラブ新入,2nd Gradeファイトクラブ新入,グループポイントを集める,0
31,クラス首位,2nd Gradeクラス首位,グループポイントを集める,0
32,最強,3rd Grade最強,グループポイントを集める,0
33,四天王,3rd Grade四天王,グループポイントを集める,0
34,ファイトクラブ幹部,3rd Gradeファイトクラブ幹部,グループポイントを集める,0
35,ファイトクラブメンバ,3rd Gradeファイトクラブメンバー,グループポイントを集める,0
36,ファイトクラブ新入,3rd Gradeファイトクラブ新入,グループポイントを集める,0
37,クラス首位,3rd Gradeクラス首位,グループポイントを集める,0
38,最強,4th Grade最強,グループポイントを集める,0
39,四天王,4th Grade四天王,グループポイントを集める,0
40,ファイトクラブ幹部,4th Gradeファイトクラブ幹部,グループポイントを集める,0
41,ファイトクラブメンバ,4th Gradeファイトクラブメンバー,グループポイントを集める,0
42,ファイトクラブ新入,4th Gradeファイトクラブ新入,グループポイントを集める,0
43,クラス首位,4th Gradeクラス首位,グループポイントを集める,0
44,最強,5年生最強,グループポイントを集める,0
45,四天王,5年生四天王,グループポイントを集める,0
46,ファイトクラブ幹部,5年生ファイトクラブ幹部,グループポイントを集める,0
47,ファイトクラブメンバ,5年生ファイトクラブメンバー,グループポイントを集める,0
48,ファイトクラブ新入,5年生ファイトクラブ新入,グループポイントを集める,0
49,クラス首位,5年生クラス首位,グループポイントを集める,0
50,最強,6年生最強,グループポイントを集める,0
51,四天王,6年生四天王,グループポイントを集める,0
52,ファイトクラブ幹部,6年生ファイトクラブ幹部,グループポイントを集める,0
53,ファイトクラブメンバ,6年生ファイトクラブメンバー,グループポイントを集める,0
54,ファイトクラブ新入,6年生ファイトクラブ新入,グループポイントを集める,0
55,クラス首位,6年生クラス首位,グループポイントを集める,0
56,デッドマン,ゲームの接続を不正に切断するユーザーに与えられる不名誉な称号,ゲームの強制終了を繰り返す,1
